event_id,date,event_description,event_type,actor,contradiction_flag,drift_indicator,severity_0_10,pressure_type,pressure_flag,latency_flag,source_name,source_url
W001,2009-03-01,"Wells Fargo completes acquisition of Wachovia for $12.7B; combined entity becomes largest US bank by deposits; integration creates pressure to cross-sell Wachovia customers onto Wells Fargo product portfolio; executive compensation structure ties bonuses directly to product sales per household; Gr-Eight initiative targets 8 products per customer as primary performance metric",corporate_transaction,Wells Fargo,0,,4,financial,1,0,Wells Fargo 2009 Annual Report,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000072971&type=10-K&dateb=&owner=include&count=40
W002,2009-09-01,"OCC grants Wells Fargo national bank charter consolidation following Wachovia merger; regulatory oversight consolidates under single OCC examiner team; bank size now systemically important; OCC examination frequency and depth calibrated to relationship management model with large banks; external correction mechanism scope reduced relative to institution size",regulatory_action,OCC/Wells Fargo,1,option_eliminated,4,regulatory,1,0,OCC Supervisory Standards Documentation,https://www.occ.gov/publications-and-resources/publications/comptrollers-handbook/index-comptrollers-handbook.html
W003,2010-01-01,"Wells Fargo publicly commits to Gr-Eight cross-sell strategy in investor communications; CEO John Stumpf describes cross-selling as primary competitive moat; analyst community adopts cross-sell ratio as primary Wells Fargo performance metric; bank reports 5.9 products per retail household; external investor accountability now attached to cross-sell metric; strategy cannot be unwound without analyst penalty",financial_milestone,Wells Fargo,0,,3,financial,1,0,Wells Fargo 2010 Annual Report,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000072971&type=10-K&dateb=&owner=include&count=40
W004,2010-06-01,"Internal Wells Fargo ethics hotline begins receiving employee complaints about sales pressure; employees report being required to meet daily product quotas that cannot be achieved through legitimate sales; managers described as threatening termination for missing quotas; complaints documented internally; no systemic investigation launched; individual complaints handled case by case without pattern recognition",warning_signal,Wells Fargo Employees,1,warning_dismissed,6,organizational,0,1,Senate Banking Committee Report 2016,https://www.banking.senate.gov/imo/media/doc/12-16-16%20Stumpf%20Testimony.pdf
W005,2011-01-01,"Wells Fargo reports cross-sell ratio of 6.1 products per retail household; highest in industry; CEO Stumpf publicly states goal of 8 products per customer; investor presentations emphasize cross-sell as proof of customer loyalty and competitive differentiation; internal sales pressure intensifies to close gap to stated goal; district managers implement daily sales tracking and branch-level public scorecards",financial_milestone,Wells Fargo,1,milestone_despite_concern,4,financial,1,0,Wells Fargo 2011 Annual Report,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000072971&type=10-K&dateb=&owner=include&count=40
W006,2011-06-01,"Volume of ethics hotline complaints regarding sales practices reaches level triggering internal audit review; Community Banking division audit identifies pattern of unauthorized account openings in limited geographic sample; audit finding classified as operational risk issue; remediation assigned to Community Banking division management — the same management whose compensation drives the problem; no independent escalation to board or regulators",warning_signal,Wells Fargo Internal Audit,1,warning_dismissed,7,organizational,0,1,OCC Consent Order 2018,https://www.occ.gov/static/enforcement-actions/ea2018-014.pdf
W007,2012-01-01,"Wells Fargo HR data shows elevated employee termination rate in retail banking; approximately 1000 employees terminated annually for sales practice violations; terminations framed internally as individual misconduct rather than systemic pressure; terminated employees not eligible for rehire; no pattern analysis conducted linking termination rate to sales quota structure; employees who open unauthorized accounts fired; quota system that incentivized the behavior unchanged",policy_decision,Wells Fargo,1,narrative_vs_pressure,7,organizational,1,1,Senate Banking Committee Report 2016,https://www.banking.senate.gov/imo/media/doc/12-16-16%20Stumpf%20Testimony.pdf
W008,2012-06-01,"Los Angeles city officials begin receiving constituent complaints about Wells Fargo unauthorized accounts; complaints routed to LA City Attorney office; City Attorney investigation opens; Wells Fargo legal team engages in settlement discussions with LA City Attorney; discussions extend across multiple years; bank does not disclose investigation to OCC, CFPB, or investors; material regulatory investigation not disclosed in SEC filings",regulatory_action,LA City Attorney/Wells Fargo,1,warning_dismissed,6,regulatory,1,1,LA City Attorney Complaint 2015,https://www.lacityattorney.org/wells-fargo
W009,2013-01-01,"Wells Fargo reports cross-sell ratio of 6.16 products per retail household; CEO states target remains 8 products; investor day presentation shows cross-sell trajectory as primary value creation metric; bank now has over 6000 retail branches; scale of sales quota pressure now systemic across entire branch network; internal audit estimates unauthorized account volume but finding not escalated to executive committee or board audit committee",financial_milestone,Wells Fargo,1,milestone_despite_concern,5,financial,1,0,Wells Fargo 2013 Annual Report,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000072971&type=10-K&dateb=&owner=include&count=40
W010,2013-06-01,"Internal Wells Fargo investigation estimates 1500 to 2000 employees terminated annually for sales violations; senior management briefed on termination data; decision made to continue quota system with enhanced compliance monitoring rather than eliminate quotas; compliance monitoring assigned to district managers whose bonuses depend on sales performance; structural conflict of interest in oversight architecture locked in",policy_decision,Wells Fargo,1,option_eliminated,7,financial,1,0,Senate Banking Committee Report 2016,https://www.banking.senate.gov/imo/media/doc/12-16-16%20Stumpf%20Testimony.pdf
