event_id,date,event_description,event_type,actor,contradiction_flag,drift_indicator,severity_0_10,pressure_type,pressure_flag,latency_flag,source_name,source_url
B001,2011-08-01,"Boeing formally launches 737 MAX program as re-engine of existing 737 platform; decision driven by American Airlines threat to purchase Airbus A320neo; internal Boeing engineering preference for clean-sheet new aircraft overridden by competitive and financial pressure; re-engine locks certification approach to existing type rating framework before design begins",design_decision,Boeing,1,option_eliminated,5,financial,1,0,Senate Commerce Committee Report 2020,https://www.commerce.senate.gov/services/files/2D1B74C1-D532-4A8F-B459-BFFFE5CDE5E5
B002,2011-12-01,"American Airlines contract signed requiring 737 MAX to maintain commonality with existing 737 type certificate; contract explicitly conditions order on no new type rating requirement for pilots; financial commitment made to 460 aircraft; contractual constraint locks training and certification approach before engineering design is complete",corporate_transaction,Boeing/American Airlines,1,option_eliminated,6,financial,1,0,Senate Commerce Committee Report 2020,https://www.commerce.senate.gov/services/files/2D1B74C1-D532-4A8F-B459-BFFFE5CDE5E5
B003,2012-01-01,"Boeing reports record backlog of 737 orders; investor communications emphasize MAX program as primary growth driver; production rate targets set at 47/month by 2017; financial forecasts publicly committed to Wall Street; schedule pressure now has external investor accountability layer compounding internal program pressure",financial_milestone,Boeing,0,,3,financial,1,0,Boeing 2012 Annual Report,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000012927&type=10-K&dateb=&owner=include&count=40
B004,2012-06-01,"FAA grants Boeing expanded Organization Designation Authorization; Boeing employees authorized to certify Boeing aircraft on behalf of FAA; FAA oversight role structurally reduced; Boeing ODA employees report to Boeing management with divided accountability to FAA; external correction mechanism compromised before MCAS designed",regulatory_action,FAA/Boeing,1,option_eliminated,7,regulatory,1,0,FAA ODA Program Documentation,https://www.faa.gov/aircraft/air_cert/design_approvals/oda
B005,2012-10-01,"MCAS introduced into 737 MAX design to compensate for aerodynamic pitch-up tendency caused by repositioned larger LEAP engines; system designed to automatically push nose down when angle-of-attack sensor detects high AoA; single sensor input architecture chosen; no redundancy at design stage; system authority set at 0.6 degrees stabilizer movement",design_decision,Boeing,0,,5,operational,0,0,NTSB Accident Report AAR-22/01 Lion Air,https://www.ntsb.gov/investigations/Pages/DCA19RA007.aspx
B006,2013-03-01,"MCAS authority expanded in design from 0.6 degrees to 2.5 degrees stabilizer movement per activation; change made to address handling qualities at higher AoA than originally modeled; expanded authority not reflected in updated safety assessment; safety analysis document continues to reference original 0.6 degree assumption; discrepancy not resolved",design_decision,Boeing,1,narrative_vs_pressure,8,operational,1,0,NTSB Accident Report AAR-22/01 Lion Air,https://www.ntsb.gov/investigations/Pages/DCA19RA007.aspx
B007,2013-06-01,"Boeing System Safety Analysis classifies MCAS failure as hazardous rather than catastrophic; classification based on assumption pilots would recognize and counteract erroneous MCAS activation within 3 seconds using existing runaway stabilizer procedure; analysis does not account for repeated activations; does not account for crews unaware of MCAS existence; classification determines level of FAA oversight required",design_decision,Boeing,1,narrative_vs_pressure,8,operational,1,0,House Transportation Committee Report 2020,https://transportation.house.gov/imo/media/doc/2020.03.06%20FINAL%20737%20MAX%20Report%20for%20Public%20Release.pdf
B008,2013-11-01,"Decision made to omit MCAS entirely from Flight Crew Operations Manual; pilots will not be informed of system existence, authority, or behavior; decision explicitly linked to maintaining no-new-type-rating commitment to airlines; Boeing manager emails reference keeping MAX training package to iPad level; omission means pilots have no procedure for MCAS-specific failure",policy_decision,Boeing,1,option_eliminated,9,financial,1,0,House Transportation Committee Report 2020,https://transportation.house.gov/imo/media/doc/2020.03.06%20FINAL%20737%20MAX%20Report%20for%20Public%20Release.pdf
B009,2014-01-01,"Internal Boeing emails surface showing employees describing certification pressure; one employee writes that 737 MAX is designed by clowns supervised by monkeys; separate employee expresses concern about MCAS behavior in simulator; concerns shared within working group but not escalated to safety review board or certification team; pattern of internal signal containment begins",warning_signal,Boeing Employees,1,warning_dismissed,7,organizational,0,1,House Transportation Committee Report 2020,https://transportation.house.gov/imo/media/doc/2020.03.06%20FINAL%20737%20MAX%20Report%20for%20Public%20Release.pdf
B010,2014-03-01,"FAA issues revised ODA guidance expanding scope of Boeing self-certification authority; FAA safety engineers report being excluded from key design reviews; Boeing ODA employees report management pressure when safety findings conflict with schedule milestones; one ODA employee documents being removed from program after raising concerns; accountability coupling between certification finding and correction action degraded",regulatory_action,FAA/Boeing,1,warning_dismissed,7,regulatory,1,1,FAA Office of Inspector General Report 2019,https://www.oig.dot.gov/sites/default/files/FAA%20Oversight%20of%20Boeing%20737%20MAX%20Final%20Report.pdf
