event_id,date,event_description,event_type,actor,contradiction_flag,drift_indicator,severity_0_10,pressure_type,pressure_flag,latency_flag,source_name,source_url
E001,2017-02-07,"DOJ joins whistleblower lawsuit (filed 2011) against UHG/Optum subsidiary Ingenix for alleged Medicare risk adjustment fraud; case alleges 'hundreds of millions - likely billions' in overcharges by systematically boosting risk scores in Medicare Advantage plans; UHG one of largest MA carriers",legal_action,DOJ/UHG,1,warning_dismissed,6,regulatory,0,0,"Wikipedia UHG History","https://en.wikipedia.org/wiki/UnitedHealth_Group"
E002,2018-04-17,"Q1 2018 results: total medical membership 48.9M (+2.4M YoY); MA +330K in quarter (+11% YoY); operating income up 19% to $4.1B; MCR 81.4% (down 100bp due to health insurance tax deferral); Brian Thompson (CEO Medicare & Retirement) publicly projects 8% long-term MA growth rate",financial_milestone,UnitedHealth,0,,3,growth,0,0,"Healthcare Dive Q1 2018","https://www.healthcaredive.com/news/unitedhealth-optum-q1-2018/521523/"
E003,2018-06-01,"Cardinal Health sells 55% stake in NaviHealth to private equity firm Clayton Dubilier & Rice for $650M; NaviHealth valued at approximately $1.2B; manages post-acute care for 4.5M Medicare Advantage seniors and serves 9 of top 10 health systems; NaviHealth now PE-controlled with PE financial return expectations",corporate_transaction,Cardinal Health/NaviHealth/CDR,0,,3,financial,0,0,"FierceHealthcare NaviHealth History","https://www.fiercehealthcare.com/payer/optum-scoops-up-post-acute-care-software-startup-navihealth"
E004,2019-01-15,"FY2018 results: revenue $226B (+12% YoY); Optum crosses $100B revenue milestone first time; UHC membership +2.4M; MA membership 9.5M; operations income $17.3B (+14%); MCR 81.6%; all four business lines growing; CEO Wichmann projects half of Americans under value-based contracts within a decade",financial_milestone,UnitedHealth,0,,3,growth,0,0,"Healthcare Dive FY2018","https://www.healthcaredive.com/news/optum-drives-unitedhealth-groups-q4-yearly-earnings-increases/546084/"
E005,2019-04-16,"Q1 2019 results: total medical membership 48.9M; MA continues 11% YoY growth trajectory; commercial +845K; full-year 2019 EPS outlook raised; UHC CEO Steve Nelson highlights association health plan growth opportunity under Trump administration policies",financial_milestone,UnitedHealth,0,,3,growth,0,0,"BusinessWire Q1 2019","https://www.businesswire.com/news/home/20190416005213/en/"
E006,2020-01-15,"FY2019 results: revenue ~$242B; UHC revenues $193.8B (+5.6%); MA +325K to 5.3M members at year-end; Medicare & Retirement revenues $83.3B (+10.3%); operations income $10.3B (+13.3%); cash flows $18.5B; share repurchases $5.5B; dividend growth 18.4% YoY",financial_milestone,UnitedHealth,0,,3,growth,0,0,"BusinessWire FY2019","https://www.businesswire.com/news/home/20200115005257/en/UnitedHealth-Group-Reports-2019-Results"
E007,2019-12-31,"Baseline: UHC post-acute care prior authorization denial rate for skilled nursing facilities: 1.4%; this figure becomes the pre-NaviHealth baseline documented in Senate PSI report for comparison against 2022 post-deployment figures",baseline_measurement,UnitedHealthcare,0,,2,operational,0,0,"Senate PSI Report Oct 2024","https://www.fiercehealthcare.com/payers/unitedhealth-cvs-humana-increasingly-deploy-ai-and-deny-prior-auth-claims-senate-report"
E008,2020-03-11,"COVID-19 pandemic declared; healthcare utilization drops sharply in Q2 2020 as elective procedures deferred; UHG medical care ratio declines as members pay premiums but avoid care; margins improve in insurance division during acute phase; COVID creates data distortion in post-acute utilization patterns that will inform AI training data",external_event,WHO/Healthcare System,0,,4,financial,1,0,"General pandemic record","https://en.wikipedia.org/wiki/UnitedHealth_Group"
E009,2020-05-20,"OptumHealth acquires NaviHealth for approximately $2.5B from PE firm Clayton Dubilier & Rice; stated rationale: combine NaviHealth post-acute clinical model with Optum community care to deliver value-based care for complex patients after hospital discharge; NaviHealth to remain standalone entity under OptumHealth with CEO Clay Richards retained; NaviHealth manages 4.5M MA seniors across 50 states",corporate_transaction,OptumHealth/NaviHealth,0,,5,financial,1,0,"FierceHealthcare NaviHealth Acquisition","https://www.fiercehealthcare.com/payer/optum-scoops-up-post-acute-care-software-startup-navihealth"
E010,2020-12-31,"FY2020: UHC prior authorization denial rate for all post-acute care: 10.9% (Senate PSI report baseline figure); COVID year depresses baseline utilization and claim patterns; NaviHealth integration into Optum underway; MA membership growing; UHG revenues strong despite pandemic disruption",financial_milestone,UnitedHealth,0,,4,financial,0,0,"Senate PSI Report Oct 2024","https://www.fiercehealthcare.com/payers/unitedhealth-cvs-humana-increasingly-deploy-ai-and-deny-prior-auth-claims-senate-report"
E011,2021-01-06,"UHG announces proposed $13B acquisition of Change Healthcare - largest US healthcare payment clearinghouse processing approximately 15 billion claims per year; American Hospital Association and major hospital lobby immediately raise antitrust concerns about UHG gaining access to competitor insurance company data",corporate_transaction,UHG/Change Healthcare,1,option_eliminated,6,competitive,1,0,"Healthcare Dive Brian Thompson CEO 2021","https://www.healthcaredive.com/news/brian-thompson-named-ceo-of-unitedhealthcare/597974/"
E012,2021-02-04,"David Wichmann retires as UHG CEO; Optum head Andrew Witty named new UHG CEO; first major leadership change in years; Witty comes from Optum (services/technology) rather than insurance side; signals continued emphasis on vertical integration of insurance and care delivery",leadership_change,UHG,0,,3,organizational,1,0,"Healthcare Dive Wichmann/Witty","https://www.healthcaredive.com/news/brian-thompson-named-ceo-of-unitedhealthcare/597974/"
E013,2021-04-07,"Brian Thompson named CEO of UnitedHealthcare (full insurance division covering 50M+ members globally); previously ran UHC government programs including Medicare & Retirement - the division overseeing NaviHealth deployment; Thompson focuses on value-based care and continued MA growth; UHC contributes ~$200B of UHG revenue",leadership_change,UHG,0,,3,organizational,0,0,"UHG Press Release Thompson CEO","https://www.unitedhealthgroup.com/newsroom/2021/2021-04-07-brian-thompson-named-uhc-ceo.html"
E014,2021-12-31,"FY2021: NaviHealth integration into OptumHealth continues; preparation underway for NaviHealth to take over management of UHC IE-SNP post-acute care authorizations; April 2022 deployment target set; MA membership at record levels with continued growth trajectory",financial_milestone,UnitedHealth,0,,4,financial,0,0,"Snopes UHC AI Denials Fact Check","https://www.snopes.com/fact-check/united-healthcare-ai-denied-claims/"
E015,2022-02-24,"DOJ and state AGs of New York and Minnesota file lawsuit to block Change Healthcare acquisition; allege merger would give UHG unfair access to competitor health insurer data; allege near-monopoly in claims editing (80%+ market share); judge allows trial to proceed; hospital lobby testifies against merger",regulatory_action,DOJ/UHG,1,narrative_vs_pressure,6,regulatory,1,0,"DOJ Antitrust Case Record","https://www.justice.gov/atr/case/us-et-al-v-unitedhealth-group-inc-and-change-healthcare-inc"
